Name: STRATO3, HW Version: 1.0, SW Version: 1.2, SN: 1001003000152
#;Up-Time;UTC;Date;RMC Valid;Sats in use;Latitude;Longitude;Speed over Ground [knots];Speed over Ground [km/h];Course over Ground;Altitude NN [m];Board: Temp [C];Extern: Temp [C];Extern: Hum [perc];Extern: Press [hPa];Batt Voltage [V];Logger Status
$;00:00:01;00:00:01;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;36.250;26.125;52.25;1025.180;9.5;66575
$;00:00:03;08:51:37;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;35.875;26.250;53.116;1025.209;9.5;66591
$;00:00:05;08:51:39;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;36.500;26.125;53.474;1025.270;9.5;66591
$;00:00:07;08:51:41;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;36.750;26.250;53.757;1025.270;9.5;66591
$;00:00:09;08:51:43;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;36.500;26.125;59.639;1025.260;9.5;66591
$;00:00:11;08:51:45;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;36.125;26.250;59.952;1025.60;9.5;66591
$;00:00:13;08:51:47;16.06.2022;N;NA;NA;NA;NA;NA;NA;NA;36.375;26.500;59.349;1025.160;9.5;66623
$;00:00:15;08:51:49;16.06.2022;N;NA;NA;NA;NA;NA;NA;NA;36.500;26.625;59.189;1025.150;9.5;66609
$;00:00:17;08:51:51;16.06.2022;N;NA;NA;NA;NA;NA;NA;NA;36.750;26.750;59.387;1025.329;9.5;66609
$;00:00:19;08:51:53;16.06.2022;N;NA;NA;NA;NA;NA;NA;NA;36.875;26.875;59.265;1025.280;9.5;66609
$;00:00:21;08:51:55;16.06.2022;N;NA;NA;NA;NA;NA;NA;NA;37.125;27.0;58.983;1025.260;9.4;66609
$;00:00:23;08:51:57;16.06.2022;N;NA;NA;NA;NA;NA;NA;NA;37.250;27.0;58.571;1025.359;9.5;66609
$;00:00:25;08:51:59;16.06.2022;N;NA;NA;NA;NA;NA;NA;NA;37.375;27.125;58.220;1025.390;9.4;66609
$;00:00:27;08:52:01;16.06.2022;N;NA;NA;NA;NA;NA;NA;NA;37.375;27.0;58.113;1025.199;9.4;66609
$;00:00:29;08:52:03;16.06.2022;Y;04;53 04.35348 N;007 23.97005 E;0.630;1.1;;-2.6;37.625;27.125;58.44;1025.239;9.4;66673
$;00:00:31;08:52:05;16.06.2022;Y;04;53 04.35364 N;007 23.96988 E;1.171;2.1;260.00;-1.2;37.500;27.250;57.655;1025.349;9.4;66673
$;00:00:33;08:52:07;16.06.2022;Y;04;53 04.35421 N;007 23.97061 E;1.131;2.0;242.02;0.8;37.500;27.125;49.995;1025.319;9.4;66673
$;00:00:35;08:52:09;16.06.2022;Y;04;53 04.35468 N;007 23.97162 E;1.705;3.1;231.30;0.8;37.625;27.125;57.60;1025.189;9.4;66673
$;00:00:37;08:52:11;16.06.2022;Y;04;53 04.35438 N;007 23.97163 E;1.205;2.2;233.99;1.5;37.500;27.250;50.285;1025.479;9.4;66673
$;00:00:39;08:52:13;16.06.2022;Y;04;53 04.35465 N;007 23.97231 E;1.283;2.3;239.86;0.7;37.625;26.875;47.791;1025.290;9.4;66673
$;00:00:41;08:52:15;16.06.2022;Y;04;53 04.35449 N;007 23.97220 E;1.284;2.3;237.46;1.5;37.750;26.875;47.455;1025.199;9.4;66673
$;00:00:43;08:52:17;16.06.2022;Y;04;53 04.35440 N;007 23.97203 E;0.893;1.6;236.56;2.0;37.750;26.625;48.393;1025.160;9.4;66673
$;00:00:45;08:52:19;16.06.2022;Y;04;53 04.35417 N;007 23.97144 E;0.878;1.6;;2.5;37.750;26.750;53.551;1024.969;9.4;66673
$;00:00:47;08:52:21;16.06.2022;Y;04;53 04.35403 N;007 23.97120 E;0.320;0.5;;2.2;37.750;26.625;54.543;1025.109;9.4;66673
$;00:00:49;08:52:23;16.06.2022;Y;04;53 04.35404 N;007 23.97144 E;0.996;1.8;233.78;1.2;38.0;26.875;55.191;1025.130;9.4;66673
$;00:00:51;08:52:25;16.06.2022;Y;04;53 04.35404 N;007 23.97171 E;0.273;0.5;;0.2;37.875;26.875;55.283;1025.219;9.4;66673
$;00:00:53;08:52:27;16.06.2022;Y;05;53 04.35376 N;007 23.97168 E;0.463;0.8;;0.3;38.0;27.125;55.290;1025.199;9.4;66673
$;00:00:55;08:52:29;16.06.2022;Y;05;53 04.35377 N;007 23.97189 E;0.294;0.5;;-0.3;38.125;27.250;47.775;1025.130;9.4;66673
$;00:00:57;08:52:31;16.06.2022;Y;05;53 04.35374 N;007 23.97166 E;0.290;0.5;;0.7;38.0;26.875;47.546;1025.380;9.4;66673
$;00:00:59;08:52:33;16.06.2022;Y;07;53 04.35027 N;007 23.96669 E;0.346;0.6;;13.7;38.125;26.875;47.844;1025.99;9.4;66673
$;00:01:01;08:52:35;16.06.2022;Y;07;53 04.34718 N;007 23.96151 E;0.133;0.2;;24.2;38.125;26.750;48.248;1025.180;9.4;66673
$;00:01:03;08:52:37;16.06.2022;Y;07;53 04.34698 N;007 23.96107 E;0.097;0.1;;24.5;38.375;26.750;48.569;1025.239;9.4;66673
$;00:01:05;08:52:39;16.06.2022;Y;07;53 04.34705 N;007 23.96115 E;0.031;0.0;;24.5;38.500;26.625;55.618;1025.140;9.4;66673
$;00:01:07;08:52:41;16.06.2022;Y;07;53 04.34717 N;007 23.96122 E;0.007;0.0;;23.9;38.750;26.625;48.920;1025.449;9.4;66673
$;00:01:09;08:52:43;16.06.2022;Y;07;53 04.34716 N;007 23.96093 E;0.071;0.1;;23.8;39.0;26.625;49.49;1025.209;9.4;66673
$;00:01:11;08:52:45;16.06.2022;Y;07;53 04.34685 N;007 23.96065 E;0.301;0.5;;26.3;38.625;26.625;49.439;1025.189;9.4;66673
$;00:01:13;08:52:47;16.06.2022;Y;07;53 04.34658 N;007 23.96103 E;0.049;0.0;;25.5;38.625;26.625;52.902;1024.989;9.4;66673
$;00:01:15;08:52:49;16.06.2022;Y;07;53 04.34648 N;007 23.96111 E;0.214;0.3;;27.3;38.500;26.500;49.377;1025.300;9.4;66673
$;00:01:17;08:52:51;16.06.2022;Y;07;53 04.34631 N;007 23.96059 E;0.144;0.2;;26.6;38.250;26.375;49.553;1025.260;9.4;66673
$;00:01:19;08:52:53;16.06.2022;Y;07;53 04.34661 N;007 23.96079 E;0.083;0.1;;25.6;38.375;26.250;57.854;1025.359;9.4;66673
$;00:01:21;08:52:55;16.06.2022;Y;07;53 04.34666 N;007 23.96041 E;0.024;0.0;;24.6;38.625;26.375;49.850;1025.349;9.4;66673
$;00:01:23;08:52:57;16.06.2022;Y;07;53 04.34678 N;007 23.96036 E;0.036;0.0;;23.5;38.875;26.375;50.118;1025.280;9.4;66673
$;00:01:25;08:52:59;16.06.2022;Y;07;53 04.34681 N;007 23.96028 E;0.135;0.2;;22.4;39.125;26.250;50.324;1025.300;9.4;66673
$;00:01:27;08:53:01;16.06.2022;Y;07;53 04.34676 N;007 23.96022 E;0.038;0.0;;21.6;39.250;26.250;50.468;1025.319;9.4;66673
$;00:01:29;08:53:03;16.06.2022;Y;07;53 04.34675 N;007 23.96035 E;0.050;0.0;;21.0;39.375;26.0;50.545;1025.270;9.4;66673
$;00:01:31;08:53:05;16.06.2022;Y;07;53 04.34686 N;007 23.96057 E;0.020;0.0;;21.3;39.625;26.125;51.10;1025.410;9.4;66673
$;00:01:33;08:53:07;16.06.2022;Y;07;53 04.34700 N;007 23.96104 E;0.014;0.0;;21.9;39.625;26.125;51.270;1025.359;9.4;66673
$;00:01:35;08:53:09;16.06.2022;Y;07;53 04.34716 N;007 23.96155 E;0.059;0.1;;21.9;39.750;25.875;50.644;1025.319;9.4;66673
$;00:01:37;08:53:11;16.06.2022;Y;07;53 04.34703 N;007 23.96158 E;0.213;0.3;;22.4;40.0;25.750;49.912;1025.349;9.4;66673
$;00:01:39;08:53:13;16.06.2022;Y;07;53 04.34690 N;007 23.96141 E;0.043;0.0;;22.6;39.750;25.750;49.675;1025.219;9.4;66673
$;00:01:41;08:53:15;16.06.2022;Y;07;53 04.34692 N;007 23.96143 E;0.051;0.0;;22.2;39.750;25.750;49.614;1025.359;9.4;66673
$;00:01:43;08:53:17;16.06.2022;Y;07;53 04.34686 N;007 23.96159 E;0.162;0.3;;21.5;39.875;25.625;49.370;1025.250;9.4;66673
$;00:01:45;08:53:19;16.06.2022;Y;07;53 04.34684 N;007 23.96181 E;0.086;0.1;;20.6;39.625;25.500;49.507;1025.329;9.4;66673
$;00:01:47;08:53:21;16.06.2022;Y;07;53 04.34682 N;007 23.96193 E;0.073;0.1;;19.7;39.125;25.625;49.622;1025.280;9.3;66673
$;00:01:49;08:53:23;16.06.2022;Y;07;53 04.34685 N;007 23.96201 E;0.234;0.4;;19.2;39.250;25.500;49.980;1025.219;9.3;66673
$;00:01:51;08:53:25;16.06.2022;Y;07;53 04.34691 N;007 23.96184 E;0.053;0.0;;18.0;39.750;25.375;50.377;1025.359;9.3;66673
$;00:01:53;08:53:27;16.06.2022;Y;07;53 04.34691 N;007 23.96149 E;0.058;0.1;;18.1;39.875;25.500;50.545;1025.310;9.3;66673
$;00:01:55;08:53:29;16.06.2022;Y;07;53 04.34697 N;007 23.96114 E;0.088;0.1;;18.2;39.875;25.375;50.858;1025.310;9.3;66673
$;00:01:57;08:53:31;16.06.2022;Y;07;53 04.34695 N;007 23.96108 E;0.086;0.1;;18.5;40.125;25.375;50.919;1025.310;9.3;66673
$;00:01:59;08:53:33;16.06.2022;Y;07;53 04.34680 N;007 23.96088 E;0.064;0.1;;19.0;40.250;25.125;51.48;1025.300;9.3;66673
$;00:02:01;08:53:35;16.06.2022;Y;07;53 04.34675 N;007 23.96058 E;0.076;0.1;;19.5;40.250;25.125;50.980;1025.349;9.3;66673
$;00:02:03;08:53:37;16.06.2022;Y;07;53 04.34680 N;007 23.96031 E;0.078;0.1;;20.4;40.500;25.125;51.147;1025.380;9.3;66673
$;00:02:05;08:53:39;16.06.2022;Y;07;53 04.34679 N;007 23.96018 E;0.067;0.1;;20.1;40.500;25.125;59.74;1025.170;9.3;66673
$;00:02:07;08:53:41;16.06.2022;Y;07;53 04.34681 N;007 23.96005 E;0.128;0.2;;20.1;40.500;25.375;57.579;1025.140;9.3;66673
$;00:02:09;08:53:43;16.06.2022;Y;07;53 04.34688 N;007 23.96002 E;0.079;0.1;;20.2;40.500;25.500;57.808;1025.339;9.3;66673
$;00:02:11;08:53:45;16.06.2022;Y;07;53 04.34697 N;007 23.96012 E;0.073;0.1;;20.1;40.375;25.500;58.113;1025.160;9.3;66673
$;00:02:13;08:53:47;16.06.2022;Y;07;53 04.34727 N;007 23.96055 E;0.075;0.1;;19.8;40.250;25.375;56.793;1025.219;9.3;66673
$;00:02:15;08:53:49;16.06.2022;Y;07;53 04.34741 N;007 23.96067 E;0.072;0.1;;19.8;40.125;25.500;50.415;1025.380;9.3;66673
$;00:02:17;08:53:51;16.06.2022;Y;07;53 04.34744 N;007 23.96082 E;0.196;0.3;;19.5;39.875;25.375;50.850;1025.430;9.3;66673
$;00:02:19;08:53:53;16.06.2022;Y;07;53 04.34768 N;007 23.96088 E;0.082;0.1;;20.2;39.875;25.375;51.48;1025.180;9.3;66673
$;00:02:21;08:53:55;16.06.2022;Y;07;53 04.34785 N;007 23.96126 E;0.627;1.1;;20.1;39.500;25.250;56.53;1025.280;9.3;66673
$;00:02:23;08:53:57;16.06.2022;Y;07;53 04.34803 N;007 23.96202 E;0.050;0.0;;19.8;40.0;25.250;51.491;1025.239;9.3;66673
$;00:02:25;08:53:59;16.06.2022;Y;07;53 04.34814 N;007 23.96255 E;0.020;0.0;;19.9;40.250;25.250;51.689;1025.140;9.3;66673
$;00:02:27;08:54:01;16.06.2022;Y;07;53 04.34814 N;007 23.96293 E;0.072;0.1;;19.8;40.375;25.125;51.682;1025.410;9.3;66673
$;00:02:29;08:54:03;16.06.2022;Y;07;53 04.34810 N;007 23.96316 E;0.050;0.0;;20.0;40.500;25.125;51.773;1025.219;9.3;66673
$;00:02:31;08:54:05;16.06.2022;Y;07;53 04.34816 N;007 23.96335 E;0.073;0.1;;20.1;40.625;25.0;51.811;1025.290;9.3;66673
$;00:02:33;08:54:07;16.06.2022;Y;07;53 04.34823 N;007 23.96341 E;0.097;0.1;;20.2;40.875;24.875;51.849;1025.180;9.3;66673
$;00:02:35;08:54:09;16.06.2022;Y;07;53 04.34817 N;007 23.96346 E;0.036;0.0;;20.3;40.750;24.875;52.544;1025.239;9.3;66673
$;00:02:37;08:54:11;16.06.2022;Y;07;53 04.34813 N;007 23.96349 E;0.024;0.0;;19.8;41.0;24.875;52.918;1025.290;9.3;66673
$;00:02:39;08:54:13;16.06.2022;Y;07;53 04.34807 N;007 23.96359 E;0.032;0.0;;19.3;41.250;24.875;52.345;1025.229;9.3;66673
$;00:02:41;08:54:15;16.06.2022;Y;07;53 04.34802 N;007 23.96368 E;0.089;0.1;;18.9;41.250;25.0;51.949;1025.349;9.3;66673
$;00:02:43;08:54:17;16.06.2022;Y;07;53 04.34798 N;007 23.96367 E;0.031;0.0;;18.8;41.500;24.750;51.704;1025.189;9.3;66673
$;00:02:45;08:54:19;16.06.2022;Y;07;53 04.34809 N;007 23.96371 E;0.026;0.0;;18.3;41.375;24.875;58.273;1025.130;9.3;66673
$;00:02:47;08:54:21;16.06.2022;Y;07;53 04.34800 N;007 23.96393 E;0.108;0.2;;18.2;41.625;25.0;51.231;1025.390;9.3;66673
$;00:02:49;08:54:23;16.06.2022;Y;07;53 04.34793 N;007 23.96391 E;0.094;0.1;;18.2;41.750;25.125;50.674;1025.99;9.3;66673
$;00:02:51;08:54:25;16.06.2022;Y;07;53 04.34802 N;007 23.96384 E;0.074;0.1;;18.1;41.625;25.0;50.598;1025.430;9.3;66673
$;00:02:53;08:54:27;16.06.2022;Y;07;53 04.34793 N;007 23.96372 E;0.300;0.5;;17.8;41.250;24.875;50.896;1025.219;9.3;66673
$;00:02:55;08:54:29;16.06.2022;Y;07;53 04.34786 N;007 23.96350 E;0.323;0.5;;17.7;41.0;24.875;51.285;1025.329;9.3;66673
$;00:02:57;08:54:31;16.06.2022;Y;07;53 04.34777 N;007 23.96344 E;0.209;0.3;;17.8;41.0;24.875;59.670;1025.239;9.3;66673
$;00:02:59;08:54:33;16.06.2022;Y;07;53 04.34778 N;007 23.96366 E;0.017;0.0;;17.5;41.375;25.250;59.74;1025.180;9.3;66673
$;00:03:01;08:54:35;16.06.2022;Y;07;53 04.34778 N;007 23.96369 E;0.059;0.1;;17.0;41.375;25.375;51.155;1025.329;9.3;66673
$;00:03:03;08:54:37;16.06.2022;Y;07;53 04.34774 N;007 23.96339 E;0.552;1.0;;16.5;41.500;25.0;51.453;1025.290;9.3;66673
$;00:03:05;08:54:39;16.06.2022;Y;07;53 04.34746 N;007 23.96299 E;0.117;0.2;;17.2;41.0;25.125;59.830;1025.189;9.3;66673
$;00:03:07;08:54:41;16.06.2022;Y;07;53 04.34719 N;007 23.96287 E;0.205;0.3;;16.7;40.875;25.125;51.720;1025.180;9.3;66673
$;00:03:09;08:54:43;16.06.2022;Y;07;53 04.34699 N;007 23.96286 E;0.129;0.2;;16.0;41.0;25.375;59.143;1025.209;9.3;66673
$;00:03:11;08:54:45;16.06.2022;Y;07;53 04.34688 N;007 23.96258 E;0.094;0.1;;15.6;41.0;25.250;59.547;1025.89;9.3;66673
$;00:03:13;08:54:47;16.06.2022;Y;07;53 04.34666 N;007 23.96262 E;0.395;0.7;;15.2;40.750;25.500;58.418;1025.239;9.3;66673
$;00:03:15;08:54:49;16.06.2022;Y;07;53 04.34665 N;007 23.96210 E;0.339;0.6;;14.9;40.875;25.750;59.448;1025.250;9.3;66673
$;00:03:17;08:54:51;16.06.2022;Y;07;53 04.34646 N;007 23.96205 E;0.239;0.4;;15.4;40.625;25.750;58.281;1025.280;9.3;66673
$;00:03:19;08:54:53;16.06.2022;Y;07;53 04.34624 N;007 23.96191 E;0.082;0.1;;15.9;40.750;26.125;58.14;1025.79;9.3;66673
$;00:03:21;08:54:55;16.06.2022;Y;07;53 04.34642 N;007 23.96152 E;0.120;0.2;;15.8;41.0;26.0;60.143;1025.209;9.3;66673
$;00:03:23;08:54:57;16.06.2022;Y;07;53 04.34626 N;007 23.96162 E;0.105;0.1;;16.6;41.125;25.875;60.135;1025.199;9.3;66673
$;00:03:25;08:54:59;16.06.2022;Y;07;53 04.34590 N;007 23.96161 E;0.052;0.0;;17.7;41.125;26.125;60.829;1025.180;9.3;66673
$;00:03:27;08:55:01;16.06.2022;Y;07;53 04.34560 N;007 23.96157 E;0.119;0.2;;18.4;41.375;26.375;60.715;1025.99;9.3;66673
$;00:03:29;08:55:03;16.06.2022;Y;07;53 04.34545 N;007 23.96149 E;0.137;0.2;;19.0;41.375;26.500;60.440;1025.270;9.2;66673
$;00:03:31;08:55:05;16.06.2022;Y;07;53 04.34564 N;007 23.96169 E;0.269;0.4;;20.3;41.500;26.750;60.341;1025.170;9.3;66673
$;00:03:33;08:55:07;16.06.2022;Y;07;53 04.34562 N;007 23.96181 E;0.165;0.3;;21.2;41.250;26.500;60.600;1025.189;9.3;66673
$;00:03:35;08:55:09;16.06.2022;Y;07;53 04.34584 N;007 23.96224 E;0.024;0.0;;22.2;40.875;26.625;54.871;1025.229;9.3;66673
$;00:03:37;08:55:11;16.06.2022;Y;07;53 04.34593 N;007 23.96315 E;0.140;0.2;;23.3;40.750;26.625;61.5;1025.250;9.3;66673
$;00:03:39;08:55:13;16.06.2022;Y;07;53 04.34590 N;007 23.96351 E;0.038;0.0;;24.5;40.750;26.750;61.157;1025.239;9.3;66673
$;00:03:41;08:55:15;16.06.2022;Y;07;53 04.34593 N;007 23.96436 E;0.077;0.1;;26.0;41.0;27.0;61.127;1025.199;9.3;66673
$;00:03:43;08:55:17;16.06.2022;Y;07;53 04.34599 N;007 23.96491 E;0.040;0.0;;27.1;41.0;27.125;60.883;1025.280;9.3;66673
$;00:03:45;08:55:19;16.06.2022;Y;07;53 04.34597 N;007 23.96571 E;0.130;0.2;;27.9;40.875;27.250;60.699;1025.459;9.3;66673
$;00:03:47;08:55:21;16.06.2022;Y;07;53 04.34590 N;007 23.96660 E;0.071;0.1;;28.6;40.750;27.250;60.593;1025.310;9.2;66673
$;00:03:49;08:55:23;16.06.2022;Y;07;53 04.34608 N;007 23.96751 E;0.088;0.1;;29.2;40.750;27.500;60.562;1025.199;9.2;66673
$;00:03:51;08:55:25;16.06.2022;Y;07;53 04.34605 N;007 23.96834 E;0.096;0.1;;30.0;40.750;27.500;60.547;1025.300;9.2;66673
$;00:03:53;08:55:27;16.06.2022;Y;07;53 04.34589 N;007 23.96899 E;0.165;0.3;;30.6;40.625;27.625;60.600;1025.339;9.3;66673
$;00:03:55;08:55:29;16.06.2022;Y;07;53 04.34540 N;007 23.96938 E;0.154;0.2;;32.2;40.500;27.375;51.537;1025.390;9.2;66673
$;00:03:57;08:55:31;16.06.2022;Y;07;53 04.34505 N;007 23.96951 E;0.059;0.1;;33.1;40.625;27.500;51.872;1025.369;9.2;66673
$;00:03:59;08:55:33;16.06.2022;Y;07;53 04.34488 N;007 23.96944 E;0.244;0.4;;34.1;40.750;27.250;52.147;1025.300;9.2;66673
$;00:04:01;08:55:35;16.06.2022;Y;07;53 04.34478 N;007 23.96908 E;0.139;0.2;;34.7;40.875;27.125;52.200;1025.290;9.2;66673
$;00:04:03;08:55:37;16.06.2022;Y;07;53 04.34454 N;007 23.96909 E;0.400;0.7;;35.7;41.0;27.0;52.460;1025.199;9.2;66673
$;00:04:05;08:55:39;16.06.2022;Y;07;53 04.34449 N;007 23.96893 E;0.102;0.1;;36.4;41.0;26.875;52.506;1025.280;9.2;66673
$;00:04:07;08:55:41;16.06.2022;Y;07;53 04.34465 N;007 23.96951 E;0.144;0.2;;36.4;40.875;26.750;53.246;1025.199;9.2;66673
$;00:04:09;08:55:43;16.06.2022;Y;07;53 04.34462 N;007 23.96980 E;0.063;0.1;;35.8;40.875;27.0;52.689;1025.180;9.2;66673
$;00:04:11;08:55:45;16.06.2022;Y;07;53 04.34499 N;007 23.96983 E;0.038;0.0;;36.4;40.750;26.750;52.246;1025.199;9.2;66673
$;00:04:13;08:55:47;16.06.2022;Y;07;53 04.34510 N;007 23.96940 E;0.165;0.3;;36.0;40.875;26.875;51.895;1025.199;9.2;66673
$;00:04:15;08:55:49;16.06.2022;Y;07;53 04.34573 N;007 23.96718 E;0.178;0.3;;33.4;40.875;26.625;52.86;1025.290;9.2;66673
$;00:04:17;08:55:51;16.06.2022;Y;07;53 04.34574 N;007 23.96741 E;0.162;0.3;;32.3;41.0;26.625;52.666;1025.119;9.2;66673
$;00:04:19;08:55:53;16.06.2022;Y;07;53 04.34588 N;007 23.96766 E;0.051;0.0;;31.5;41.250;26.500;53.47;1025.290;9.2;66673
$;00:04:21;08:55:55;16.06.2022;Y;07;53 04.34585 N;007 23.96802 E;0.108;0.2;;32.3;41.125;26.500;53.963;1025.239;9.2;66673
$;00:04:23;08:55:57;16.06.2022;Y;07;53 04.34574 N;007 23.96828 E;0.017;0.0;;32.2;40.750;26.500;53.741;1025.130;9.2;66673
$;00:04:25;08:55:59;16.06.2022;Y;07;53 04.34570 N;007 23.96879 E;0.134;0.2;;32.1;40.625;26.375;50.667;1025.310;9.2;66673
$;00:04:27;08:56:01;16.06.2022;Y;07;53 04.34566 N;007 23.96885 E;0.243;0.4;;32.1;40.500;26.375;49.843;1025.400;9.2;66673
$;00:04:29;08:56:03;16.06.2022;Y;07;53 04.34570 N;007 23.96894 E;0.102;0.1;;32.3;40.875;26.125;49.431;1025.199;9.2;66673
$;00:04:31;08:56:05;16.06.2022;Y;07;53 04.34620 N;007 23.96929 E;0.216;0.4;;33.6;41.0;26.125;48.714;1025.300;9.2;66673
$;00:04:33;08:56:07;16.06.2022;Y;07;53 04.34680 N;007 23.96904 E;0.070;0.1;;33.5;41.125;26.0;47.852;1025.300;9.2;66673
$;00:04:35;08:56:09;16.06.2022;Y;07;53 04.34716 N;007 23.96904 E;0.236;0.4;;33.4;41.125;25.750;45.372;1025.290;9.2;66673
$;00:04:37;08:56:11;16.06.2022;Y;07;53 04.34717 N;007 23.96904 E;0.454;0.8;;32.1;41.0;25.625;43.282;1025.400;9.2;66673
$;00:04:39;08:56:13;16.06.2022;Y;07;53 04.34737 N;007 23.96914 E;0.347;0.6;;31.7;40.875;25.625;49.408;1025.189;9.2;66673
$;00:04:41;08:56:15;16.06.2022;Y;07;53 04.34700 N;007 23.96883 E;0.717;1.3;;29.8;40.750;26.125;50.217;1025.270;9.2;66673
$;00:04:43;08:56:17;16.06.2022;Y;07;53 04.34704 N;007 23.96922 E;1.040;1.9;;31.2;40.875;25.875;43.37;1025.329;9.2;66673
$;00:04:45;08:56:19;16.06.2022;Y;07;53 04.34663 N;007 23.96909 E;0.089;0.1;;29.6;40.625;25.750;43.144;1025.400;9.2;66673
$;00:04:47;08:56:21;16.06.2022;Y;07;53 04.34640 N;007 23.96897 E;0.518;0.9;;28.2;40.375;25.750;43.457;1025.260;9.2;66673
$;00:04:49;08:56:23;16.06.2022;Y;07;53 04.34633 N;007 23.96948 E;0.119;0.2;;27.3;40.500;25.625;44.45;1025.189;9.2;66673
$;00:04:51;08:56:25;16.06.2022;Y;07;53 04.34622 N;007 23.96947 E;0.148;0.2;;26.5;40.375;25.500;44.975;1025.319;9.2;66673
$;00:04:53;08:56:27;16.06.2022;Y;07;53 04.34631 N;007 23.97012 E;0.277;0.5;;25.2;40.625;25.750;54.184;1025.229;9.2;66673
$;00:04:55;08:56:29;16.06.2022;Y;07;53 04.34642 N;007 23.97033 E;0.478;0.8;;23.9;40.625;26.0;45.898;1025.199;9.2;66673
$;00:04:57;08:56:31;16.06.2022;Y;07;53 04.34669 N;007 23.97048 E;0.219;0.4;;24.1;41.0;25.750;53.680;1025.290;9.2;66673
$;00:04:59;08:56:33;16.06.2022;Y;07;53 04.34699 N;007 23.97059 E;0.688;1.2;;25.1;41.0;26.125;54.283;1025.329;9.2;66673
$;00:05:01;08:56:35;16.06.2022;Y;07;53 04.34707 N;007 23.97094 E;0.151;0.2;;25.3;40.625;26.125;46.570;1025.119;9.2;66673
$;00:05:03;08:56:37;16.06.2022;Y;07;53 04.34650 N;007 23.97227 E;2.845;5.2;169.71;25.4;40.375;25.875;47.28;1025.229;9.2;66673
$;00:05:05;08:56:39;16.06.2022;Y;07;53 04.34573 N;007 23.97364 E;0.687;1.2;;25.5;40.250;25.875;47.447;1025.290;9.2;66673
$;00:05:07;08:56:41;16.06.2022;Y;06;53 04.34638 N;007 23.97258 E;1.797;3.3;;26.3;40.250;25.625;47.813;1025.310;9.2;66673
$;00:05:09;08:56:43;16.06.2022;Y;06;53 04.34599 N;007 23.97382 E;1.679;3.1;;29.7;40.0;25.500;48.27;1025.189;9.2;66673
$;00:05:11;08:56:45;16.06.2022;Y;06;53 04.34533 N;007 23.97503 E;1.808;3.3;;31.9;39.875;25.500;49.49;1025.229;9.2;66673
$;00:05:13;08:56:47;16.06.2022;Y;05;53 04.34559 N;007 23.97610 E;1.565;2.8;;35.2;39.625;25.250;50.3;1025.359;9.2;66673
$;00:05:15;08:56:49;16.06.2022;Y;05;53 04.34551 N;007 23.97505 E;1.638;3.0;;37.3;39.875;25.375;50.324;1025.170;9.2;66673
$;00:05:17;08:56:51;16.06.2022;Y;06;53 04.34484 N;007 23.97365 E;0.488;0.9;;34.5;39.500;25.125;50.400;1025.290;9.2;66673
$;00:05:19;08:56:53;16.06.2022;Y;05;53 04.34503 N;007 23.97333 E;0.393;0.7;;32.5;39.500;25.125;50.400;1025.189;9.2;66673
$;00:05:21;08:56:55;16.06.2022;Y;06;53 04.34550 N;007 23.97258 E;0.175;0.3;;37.2;39.250;24.875;50.171;1025.319;9.2;66673
$;00:05:23;08:56:57;16.06.2022;Y;06;53 04.34615 N;007 23.97209 E;1.226;2.2;;40.4;39.250;25.0;50.217;1025.160;9.2;66673
$;00:05:25;08:56:59;16.06.2022;Y;05;53 04.34690 N;007 23.97310 E;3.125;5.7;137.35;44.4;39.250;25.0;50.194;1025.140;9.2;66673
$;00:05:27;08:57:01;16.06.2022;Y;06;53 04.34719 N;007 23.97462 E;0.505;0.9;;43.7;39.125;24.875;50.171;1025.219;9.2;66673
$;00:05:29;08:57:03;16.06.2022;Y;07;53 04.34576 N;007 23.97499 E;0.406;0.7;;37.4;39.125;24.875;50.224;1025.349;9.2;66673
$;00:05:31;08:57:05;16.06.2022;Y;07;53 04.34473 N;007 23.97482 E;0.717;1.3;;30.9;39.250;24.750;50.316;1025.260;9.2;66673
$;00:05:33;08:57:07;16.06.2022;Y;08;53 04.34400 N;007 23.97492 E;1.322;2.4;;28.0;39.0;24.750;50.186;1025.410;9.2;66673
$;00:05:35;08:57:09;16.06.2022;Y;08;53 04.34467 N;007 23.97482 E;0.438;0.8;;26.0;39.375;24.625;50.316;1025.310;9.2;66673
$;00:05:37;08:57:11;16.06.2022;Y;08;53 04.34546 N;007 23.97463 E;0.447;0.8;;25.7;39.250;24.625;49.797;1025.369;9.2;66673
$;00:05:39;08:57:13;16.06.2022;Y;08;53 04.34609 N;007 23.97437 E;0.191;0.3;;24.9;39.375;24.625;49.393;1025.369;9.2;66673
$;00:05:41;08:57:15;16.06.2022;Y;08;53 04.34647 N;007 23.97422 E;0.268;0.4;;24.3;39.500;24.625;49.400;1025.329;9.2;66673
$;00:05:43;08:57:17;16.06.2022;Y;08;53 04.34697 N;007 23.97359 E;0.170;0.3;;22.8;39.375;24.750;49.759;1025.310;9.2;66673
